"Adriano Aprà","n","['1860', 'I’LL ALWAYS LOVE YOU', 'Farewell to Youth', ""Papa's Little Rascal"", 'AN ADVENTURE OF SALVATORE ROSA', 'Teresa Vénerdi', 'The Old Guard', 'LA SIGNORA DI TUTTI']","['no form given']","['00012', '00017', '00019', '00021', '00022']","['1/24/1979', '1/26/1979', '1/31/1979', '2/2/1979', '2/6/1979']"
"Akira Kurosawa","y","['Ikiru']","['no form given']","['03437']","['7/18/1978']"
"Alan Snitow","n","[]","['no form given']","['03718']","['']"
"Albert Mkrtchian","y","['Tango of Our Childhood']","['unknown', 'no form']","['00545']","['10/18/1986']"
"Alejandro Grattan","n","['ONLY ONCE IN A LIFETIME']","['no form given']","['00024']","['2/12/1979']"
"Angela Davis","n","['Niaye', 'Emitai', ""Angela Davis, L'Enchainement"", 'Sambi Tali', 'Black Girl', 'The Black Princes of St-Germain', 'Mandabi', 'Tauw', 'Ceddo']","['no form given']","['03494', '03513', '03517', '03518', '03519']","['3/10/1978', '2/6/1978', '2/4/1978', '2/3/1978', '2/3/1978']"
"Angela Zawadzki","n","['Ben and Benedict', 'It Was Four Years Ago', 'A Nation is Born', 'Mol', 'Afrique-Sur-Seine']","['no form given']","['03520', '03522']","['2/2/1978', '1/15/1978']"
"Anja Breien","n","['Wives—Ten Years After', 'Wives']","['unknown', 'no form given']","['00504']","['3/23/1986']"
"Anna Magnani","y","['SOUTHERN CALIFORNIA']","['analog partial permissions', 'no form given']","['00385', '03724']","['5/17/1983', '']"
"Anna-Lena Wibom","n","['Häxan', 'Kinonedelia Newsreels', 'Song of the Scarlet Flower']","['analog partial permissions', 'no form given']","['00535', '03637', '03639', '03641']","['9/7/1986', '2/6/1977', '2/7/1977', '2/8/1977']"
"Anne Bohlen","n","['MEN’S LIVES', 'WITH BABIES AND BANNERS']","['unknown']","['03731']","['11/12/1980']"
"Anthony Harvey","y","['LOLITA', 'The Glass Menagerie', 'They Might Be Giants', 'Dr. Strangelove: Or How I Learned to Stop Worrying and Love the Bomb', 'The Lion in Winter', 'Dutchman']","['no form given']","['03551', '03552', '03555']","['9/28/1977', '9/21/1977', '9/14/1977']"
"Arthur Freed","y","[]","['no form given']","['03699']","['10/25/1970']"
"Astrid Lindgren","y","['THE BROTHERS LIONHART']","['no form given']","['00038']","['3/20/1979']"
"Babette Mangolte","n","['The Camera:Je or La Camera:I', '(MY DARLING BE CAREFUL)', 'THE COLD EYE', 'News from home']","['analog partial permissions', 'no form given']","['00070', '00199']","['6/5/1979', '2/27/1981']"
"Barbara Steele","n","['YOUNG TÖRLESS', '8 1/2', 'BLACK SUNDAY', 'CASTLE OF BLOOD']","['no form given']","['00005']","['1/12/1979']"
"Bastian Cleve","n","['S.F. ZEPHYR', 'HOLI']","['analog partial permissions', 'unknown']","['00094', '00184']","['10/26/1979', '1/22/1981']"
"Ben Biogaye Beye","n","['Sambi Tali', 'The Black Princes of St-Germain', 'Ceddo']","['no form given']","['03518', '03519']","['2/3/1978', '2/3/1978']"
"Bernadette Lafont","y","['Le révélateur', 'Noroît']","['no form given']","['03687', '03689']","['3/30/1977', '3/29/1977']"
"Bertrand Augst","n","['Kinonedelia Newsreels']","['no form given']","['03641']","['2/8/1977']"
"Bertrand Tavernier","n","['The Judge and the Killer', 'Let Joy Reign Supreme']","['no form given']","['03564']","['7/9/1977']"
"Bette Davis","y","[]","['no form given']","['03709']","['11/1/1969']"
"Bob Chatterton","y","['Flying Elephants']","['no form given']","['03490', '03528']","['4/2/1978', '1/8/1978']"
"Bob Dalva","n","['Latino']","['unknown', 'no form given']","['00473']","['10/11/1985']"
"Bob Rosen","n","['MACBETH']","['unknown', 'no form given']","['00155']","['6/4/1980']"
"Bruce Wood","n","['River of Stars', 'Airless Passage', 'Arctic Desire', 'Frozen Flight', 'Island Design', 'Molten Shadow', 'Edge Forces']","['no form given']","['03591']","['5/3/1977']"
"Bruno Barreto","n","['THE LADY IN THE BUS', 'DONA FLOR AND HER TWO HUSBANDS']","['no form given']","['00048']","['4/5/1979']"
"Busby Berkeley","y","[]","['no form given']","['03715']","['']"
"California Newsreel Group",,"['Controlling Interest: The World of the Multinational Corporation', 'I Live in Fear', 'This Bloody, Blundering Business', 'The First Twenty-Five Years', ""Mr. Nixon's Secret Legacy"", 'But What Do We Do?', 'The International Hotel']","['no form given']","['03469']","['5/20/1978']"
"Catherine Denueve","n","[]","['no form given']","['03711', '03719', '03723']","['10/16/1980', '3/15/1971', '10/16/1980']"
"Charles Benton","y","['Night and Fog', 'Seconds to Play', 'Allegro Non Troppo', 'Roots']","['no form given']","['03622']","['3/10/1977']"
"Charles Hopkins",,"[""Porky's Super Service"", 'Somewhere in Dreamland', 'Albuquerque', 'La Cucaracha', 'Stoopmocracy', 'One Hour with You', 'Jack Frost', 'Dizzy Red Riding Hood', 'Dumbo', 'Last Days of Pompeii', ""All's Fair at the Fair"", 'CONFIDENCE', 'Lady in the Dark', 'Blue Skies', 'Dancing on the Moon']","['analog partial permissions', 'no form given']","['00402', '03548']","['12/18/1983', '10/4/1977']"
"Charles Rudnick",,"['Love it Like a Fool']","['no form given']","['03489']","['4/6/1978']"
"Chatrichalerm Yukol",,"['The Angel', 'The Citizen']","['no form given']","['03442', '03443']","['6/30/1978', '6/29/1978']"
"Cherel Ito",,"['Divine Horsemen']","['no form given']","['03543', '03545']","['10/15/1977', '10/13/1977']"
"Chris Simon",,"['Warmth and Wildness', 'SPROUT WINGS AND FLY', 'Cajun Music Film (work in progress)', 'Gap-toothed Women', 'IN HEAVEN THERE IS NO BEER?', 'Ziveli: Medicine for the Heart', 'IN HEAVEN IS THERE NO BEER']","['analog partial permissions', 'no form given']","['00384', '00421', '00489']","['5/14/1983', '3/6/1984', '1/30/1986']"
"Chuck Jones",,"['One Froggy Evening', 'Duck Amuck', 'Inki and the Minah Bird', 'Night Watchman']","['no form given']","['03648']","['1/26/1977']"
"Claude Jutra",,"['Dreamspeaker']","['no form given']","['03432']","['8/24/1978']"
"Claudia Weill",,"['Girlfriends']","['no form given']","['03429']","['8/29/1978']"
"Connie Field",,"['LIFE AND TIMES OF ROSIE THE RIVETER']","['no form given', 'no form given']","['00174']","['10/22/1980']"
"Constance Penley",,"['Institutional Quality', 'A Casing Shelved', 'Nostalgia']","['no form given']","['03410']","['10/12/1978']"
"Cornel West",,"[]","['no form given']","['03718']","['']"
"Costa- Gavras",,"['MISSING']","['unknown']","['00245']","['2/3/1982']"
"Daniel Duval",,"['The Shadow of the Castles', 'Milady', 'La Communion Solennelle']","['no form given']","['03524', '03526']","['1/13/1978', '1/9/1978']"
"David Bradley",,"['TWINKLETOES', 'THE SALVATION HUNTERS', 'Talk about a Stranger', 'SUDDEN FEAR', 'Julius Caesar', 'Sredni Vashtar', 'BLUE BOTTLES', 'SHANGHAI GESTURE', 'Barbed Wire', 'The Ghost of Rosy Taylor', 'Othello', 'The Eyes of Julia Deep', 'Smoldering Fires', 'SHREDNI VASHTAR', 'PICCADILLY', 'Chicago']","['analog partial permissions', 'unknown', 'no form given']","['00315', '00316', '00317', '00387', '00480', '03375', '03377']","['9/8/1982', '9/9/1982', '9/10/1982', '8/30/1983', '12/15/1985', '9/11/1981', '9/9/1981']"
"David Dopkin",,"['Love it Like a Fool']","['no form given']","['03489']","['4/6/1978']"
"David Koff",,"['Blacks Britannica']","['no form given']","['03399']","['11/6/1978']"
"David Larcher",,"[""Mare's Tail""]","['no form given']","['03541']","['10/18/1977']"
"David Lean",,"[]","['no form given']","['03698', '03706']","['10/25/1970', '10/27/1970']"
"David Livblom",,"['Controlling Interest: The World of the Multinational Corporation', 'I Live in Fear', 'This Bloody, Blundering Business', 'The First Twenty-Five Years', ""Mr. Nixon's Secret Legacy"", 'But What Do We Do?', 'The International Hotel']","['no form given']","['03469']","['5/20/1978']"
"David Lynch",,"['Eraserhead', 'The Elephant Man']","['analog partial permissions', 'no form given']","['00517', '03491']","['5/3/1986', '3/31/1978']"
"David Ross",,"['Script', 'Title', 'Six Colorful Inside Jobs']","['no form given']","['03426']","['9/14/1978']"
"DeeDee Halleck",,"['Putting on a Show', 'Hey There Lovely Girl', 'Beginning of My End', 'Get on the Good Foot', 'Young Love', 'Aspirations']","['no form given']","['03633']","['2/22/1977']"
"Delphine Seyrig",,"['MURIEL', 'RAK', 'The Discrete Charm of the Bourgeoisie', 'Last year at Marienbad', 'Jeanne Dielman 23 Quai du Commerce 1080 Bruxelles', 'Aloise', 'PULL MY DAISY']","['no form given']","['00065', '03612', '03658', '03660', '03666']","['7/25/1979', '4/5/1977', '4/3/1977', '4/4/1977', '4/6/1977']"
"Dennis O’Rourke",,"['Half Life']","['no form given']","['00505']","['3/26/1986']"
"Diane Jacobs",,"['Les Bonnes Femmes', 'Le Boucher']","['no form given']","['03401']","['10/30/1978']"
"Diane Orr",,"['SL—I']","['unknown']","['00411']","['1/24/1984']"
"Donald Richie",,"['THE MOST BEAUTIFUL', 'NO REGRETS FOR OUR YOUTH', 'SEVEN SAMURAI']","['analog partial permissions', 'unknown']","['00060', '00061', '00269', '00270']","['5/9/1979', '5/12/1979', '?', '?']"
"Dongtian Zheng",,"['SACRIFICED YOUTH', 'Marriage', 'Neighbors', 'he Road', 'Our Farmiand']","['no form given']","['00521']","['5/15/1986']"
"Dusan Makavejev",,"['Sweet Movie', 'A Man is Not a Bird']","['no form given']","['03531', '03533']","['12/28/1977', '11/26/1977']"
"Eckart Stein",,"['THE MIDDLE OF THE ROAD IS A VERY DEAD END', 'IRACEMA', 'THE LITTLE GODARD', 'THE COMMANCHE']","['analog partial permissions', 'unknown']","['00106', '00107', '00109']","['11/12/1979', '11/13/1979', '11/15/1979']"
"Edward Lewis",,"['MISSING']","['unknown']","['00245']","['2/3/1982']"
"Eiko Ishioka",,"['Mishima']","['unknown', 'no form given']","['00469']","['9/25/1985']"
"Elem Klimov",,"['Come and See']","['unknown', 'no form']","['00544']","['10/17/1986']"
"Elizabeth Stevens",,"['Donna', 'We All Have Our Reasons', 'In the Best Interests of the Children']","['analog partial permissions', 'no form given']","['03372', '03559']","['10/22/1981', '8/16/1977']"
"Ellen Gaine",,"['RUSHLIGHT', 'EDGE', 'Great Neck']","['unknown', 'no form given']","['00471']","['10/1/1985']"
"Erik Satie",,"['ENTR’ACTE']","['unknown']","['00275']","['11/25/1980']"
"Ernie Gehr",,"['Wait', 'Field', 'SERENE VELOCITY', 'REVERBERATION']","['no form given']","['03598']","['4/19/1977']"
"Ernst Scherman",,"['MASQUERADE', 'NINOTCHKA']","['no form given']","['00057']","['4/25/1979']"
"Erwin Leiser",,"['The World of Fernando Botero', 'This World is Not for Children', 'Hans Richter', 'Ellis Larkins', 'Mein Kampf', 'Because They Are Women', 'Women in the Third World', 'Edward Kienholz', 'Germany-Dada', 'Wake Up, Germany!']","['no form given']","['03511', '03512', '03514', '03515', '03516']","['2/8/1978', '2/7/1978', '2/6/1978', '2/5/1978', '2/4/1978']"
"Eugene Ionesco",,"['La Vase']","['no form given']","['03495']","['3/7/1978']"
"Fabiano Canosa",,"['THE LADY IN THE BUS', 'DONA FLOR AND HER TWO HUSBANDS']","['no form given']","['00048']","['4/5/1979']"
"Fayard  Antonio Nicholas",,"[]","['no form given']","['03721']","['6/3/1990']"
"Federico Elton",,"['The Battle Of Chile']","['no form given']","['03614']","['4/21/1977']"
"Felix Greene",,"['Tibet']","['no form given']","['03537']","['11/7/1977']"
"Florence Eldridge",,"['ACT OF MURDER']","['unknown']","['00111']","['11/18/1979']"
"Frances Reid",,"['Donna', 'We All Have Our Reasons', 'In the Best Interests of the Children']","['analog partial permissions', 'no form given']","['03372', '03559']","['10/22/1981', '8/16/1977']"
"François Truffaut",,"[]","['no form given']","['03711', '03719']","['10/16/1980', '3/15/1971']"
"Fred Astaire",,"['Top Hat', 'Roberta', 'The Gay Divorcee']","['no form given']","['03694', '03695']","['10/30/1966', '10/30/1966']"
"Fred Cody",,"['THE WOBBLIES']","['unknown']","['00115']","['12/5/1979']"
"Fred Padulla",,"['El Capitan']","['no form given']","['03673']","['3/30/1978']"
"Friedrich Knilli",,"['THE HOLOCAUST RESEARCH PROJECT']","['no form given']","['00084', '00085']","['10/12/1979', '10/12/1979']"
"Gary Beydler",,"['PASADENA FREEWAY STILLS', 'HAND HELD DAY']","['no form given']","['03550', '03554']","['9/20/1977', '9/20/1977']"
"George Cukor",,"[]","['no form given']","['03696']","['10/22/1966']"
"George Kuchar",,"['WEATHER DIARY', 'Power Of The Press', 'Children of Violence', 'Citizen', 'Juggling', 'ASCENSION OF THE DEMONOIDS', 'Shadow Master', 'Wild Night In El Reno', 'K Y Kapers']","['analog partial permissions', 'no form given']","['00337', '00549', '03650']","['11/12/1982', '10/28/1986', '9/22/1973']"
"Georgi Shengelaya",,"['Eliso', 'Pirosmani', 'Melodies of the Vera Quarter']","['no form given']","['03616', '03617', '03618']","['3/19/1977', '3/19/1977', '3/20/1977']"
"Gian-Piero Brunetta",,"['La Notte Brava', 'From a Roman Balcony', 'IL FIORE DI CARTA', ""Il Bell'Antonio"", 'LA MURA DI SANO', 'CHE COSA LE NUVOLE?', 'COMIZI D’AMORE', 'LA TERRA VISTA DALLA LUNA']","['analog partial permissions', 'no form given']","['00422', '03652', '03653']","['3/8/1984', '12/6/1977', '12/8/1977']"
"Gianfranco Mingozzi",,"['The Last Three Days']","['no form given']","['03530']","['12/1/1977']"
"Giulietta Masina",,"['NIGHTS OF CABIRIA']","['no form given']","['00172']","['10/14/1980']"
"Glen Danny",,"['El Capitan']","['no form given']","['03673']","['3/30/1978']"
"Gösta Werner",,"['THE TRAIN', 'Midwinter Sacrifice', 'TO KILL A CHILD', 'THOMAS GRAAL’S BEST FILM']","['no form given']","['00028']","['2/16/1979']"
"Hai Feng Men",,"['SACRIFICED YOUTH', 'Marriage', 'Neighbors', 'he Road', 'Our Farmiand']","['no form given']","['00521']","['5/15/1986']"
"Hai Wang",,"['SACRIFICED YOUTH', 'Marriage', 'Neighbors', 'he Road', 'Our Farmiand']","['no form given']","['00521']","['5/15/1986']"
"Hal Barwood",,"['The Bingo Long Traveling All-Stars and Motor Kings']","['no form given']","['03643']","['2/16/1977']"
"Hans-Jurgen Syberberg",,"['OUR HITLER. . .', 'HITLER: A FILM FROM GERMANY', 'HITLER']","['no form given']","['00042', '00064', '00066']","['3/26/1979', '7/21/1979', '7/29/1979']"
"Hark Boehm",,"['North Sea-Killer Sea', 'I, Too, Can Build an Ark', 'Tschetan the Indian Boy']","['no form given']","['03532']","['11/28/1977']"
"Harold Nicholas",,"[]","['no form given']","['03721']","['6/3/1990']"
"Helene Kaplan",,"['Conveyor Belt', 'Auricon Test Rolls', 'Pluto I and Pluto II', '24 Eggs', 'Rose and Seymour at Home in Queens', 'The Vestal Theatre', 'Untitled Daile and Stephie Film', 'Marcia', 'Compulsive Film Loop']","['no form given']","['03581']","['5/24/1977']"
"Herbert Achternbusch",,"['THE YOUNG MONK', 'BYE BYE BAVARIA']","['no form given']","['00093']","['10/24/1979']"
"Herbert Feinstein",,"['MAN OF MARBLE']","['unknown', 'no form given']","['00133']","['4/9/1980']"
"Hilary Harris",,"['Generation Highway', 'Seawards the Great Ships', 'The Nuer', 'The Squeeze', 'Nine Variations on a Dance Theme', 'Longhorns', 'Exchange', 'Organism']","['no form given']","['03465', '03466']","['5/23/1978', '5/23/1978']"
"Hilary Thompson",,"['Before Hindsight']","['no form given']","['03427']","['9/12/1978']"
"Hollis Frampton",,"[]","['no form given']","['03592']","['4/29/1977']"
"Howard Hawks",,"[]","['no form given']","['03702']","['10/15/1972']"
"Howard Rovics",,"['Where the Wild Things Are']","['unknown']","['00294']","['?']"
"Ian Merrick",,"['THE BLACK PANTHER']","['no form given']","['00081']","['10/6/1979']"
"Irvin Kershner",,"['The Luck of Ginger Coffey', 'The Return of a Man Called Horse', 'Stakeout on Dope Street']","['no form given']","['03634', '03635']","['2/23/1977', '2/24/1977']"
"Jack Miller",,"['THE WOBBLIES']","['unknown']","['00115']","['12/5/1979']"
"Jack Warner",,"['The Jazz Singer', ""Who's Afraid of Virginia Woolf?""]","['no form given']","['03697']","['10/21/1966']"
"Jacques Demy",,"[]","['no form given']","['03711', '03723']","['10/16/1980', '10/16/1980']"
"Jamaa Fanaka",,"['Them', 'Emma Mae']","['no form given']","['03620']","['3/9/1977']"
"James Broughton",,"['Window Mobile']","['no form given']","['03669']","['7/26/1977']"
"James Card",,"[""L'Age D'Or"", 'Children of Eve', 'The Cossack Whip', ""Pandora's Box"", 'Why Change Your Wife?', 'Lady of the Night', 'Downstairs', 'Man, Woman and Sin', 'The Diary of a Lost Girl']","['no form given']","['03504', '03505', '03506', '03507', '03508']","['2/15/1978', '2/14/1978', '2/12/1978', '2/11/1978', '2/10/1978']"
"James MacBean",,"['TWO LAWS']","['analog partial permissions', 'no form given']","['00323', '00495', '03336']","['10/19/1982', '2/23/1986', '2/23/1986']"
"Jan Nemec",,"['The Martyrs of Love', 'Diamonds of the Night', 'A Loaf of Bread', 'Courage for Everyday', 'Oratorio for Prague', 'And Give My Love to the Swallows', 'Czech Connection', 'Case for a Rookie Hangman', 'Report on the Party and the Guests']","['analog partial permissions', 'no form given']","['00490', '03428', '03566', '03584']","['1/31/1986', '9/9/1978', '6/17/1977', '5/11/1977']"
"Jane Spantlebury",,"['LIFE AND TIMES OF ROSIE THE RIVETER']","['no form given', 'no form given']","['00174']","['10/22/1980']"
"Jaromil Jires",,"['And Give My Love to the Swallows', 'Case for a Rookie Hangman']","['no form given']","['03428']","['9/9/1978']"
"Jean-Daniel Simon",,"[""Angela Davis, L'Enchainement""]","['no form given']","['03494']","['3/10/1978']"
"Jean-Luc Godard",,"['Here and Elsewhere', 'Two or Three Things I Know About Her']","['no form given']","['03457', '03710']","['6/13/1978', '10/16/1980']"
"Jerome Gary",,"['Pumping Iron']","['no form given']","['03632']","['2/21/1977']"
"Jerry Seltzer",,"['First Position', 'Derby']","['no form given']","['03440']","['3/5/1977']"
